name,type,lat,long
Growing Homes Community Garden,community garden,39.923772920048,-75.1590730127664
Waverly Street Community Garden,community garden,39.9446458182682,-75.1609841676737
FNC Community Learning Farm at 8th and Poplar,community garden,39.967940643076,-75.1510478067445
Sartain Community Garden,community garden,39.9476025478492,-75.1603107050448
South Street Community Garden,community garden,39.9426199401795,-75.1563390006147
Brewerytown Garden,community garden,39.9770451442576,-75.1796809849726
Disston Park Garden,community garden,40.020969590198,-75.0452528477215
Hunting Park Community Garden,community garden,40.0178529496991,-75.1463407199525
Fisher Park Roots Garden,community garden,40.0441595591751,-75.1317710698195
Capitolo Community Garden,community garden,39.9343419445058,-75.1601324210542
Manton Street Park Community Garden,community garden,39.9328692299603,-75.1512393253894
South Philadelphia Older Adult Center Garden,community garden,39.93163774147,-75.1628715910522
Schuylkill River Park Community Garden,community garden,39.9493803881273,-75.1815393226148
Garden Court Community Garden,community garden,39.9533270864449,-75.2167660759251
Cobbs Creek Park Community Garden,community garden,39.9627515260364,-75.2499548080345
Poquessing Creek Park Garden,community garden,40.0794852456394,-74.9704741591184
Pleasant Playground Community Garden,community garden,40.0576441453188,-75.1811409805227
The Spring Gardens,community garden,39.9663813201503,-75.1679735609509
Fox Chase Farm,urban agriculture,40.0906963858294,-75.0745555390182
Master Gardeners Demonstration Vegetable Garden & Food Forest,urban agriculture,39.9827744710243,-75.2106575496435
Greenland Nursery,urban agriculture,39.9955625233418,-75.2030201743978
Saul High School - Henry Got Crops,urban agriculture,40.0494021359207,-75.219289865521
Sankofa Community Farm,urban agriculture,39.9304961415136,-75.2134237049817
Carousel House Farm,urban agriculture,39.9795299255405,-75.2135368766178
Strawberry Mansion Orchard & Gardens,urban agriculture,39.9946835522964,-75.1901732295782
Woodford Mansion Orchard,urban agriculture,39.9930465310879,-75.1879382729851
EarthKeepers Farm,urban agriculture,39.9418826103666,-75.2179887685383
Glen Foerd on the Delaware,urban agriculture,40.0523812469465,-74.9805370786794
Fair Amount Food Forest,urban agriculture,39.9928172622511,-75.1876602004437
